"","pid","yearbuilt"
"1128","10506","1900"
"1129","105064","1900"
"1130","105065","1900"
"1131","105066","1900"
"1132","105067","1900"
"1133","105069","2008"
"1134","105070","2008"
"1135","105072","1920"
"1136","105073","1920"
"1137","105074","1920"
"1138","105075","1920"
"1139","105076","1920"
"1140","105077","1920"
"1141","105078","1920"
"1142","105079","1920"
"1143","10508","1900"
"1144","105080","1920"
"1145","105081","1920"
"1146","105082","1920"
"1147","105083","1920"
"1148","105084","1900"
"1149","105085","1900"
"1150","105086","1900"
"1151","105087","1900"
"1152","10509","1900"
"1153","1051","1930"
"1154","10510",""
"1155","105103","1880"
"1156","105104","1880"
"1157","105105","1880"
"1158","105106","1880"
"1159","105107","1880"
"1160","105108","1880"
"1161","105109","1880"
"1162","10511",""
"1163","105110","1880"
"1164","105111","1880"
"1165","105112","1880"
"1166","105113","1880"
"1167","105115","2007"
"1168","105116","2007"
"1169","105117","2007"
"1170","105118","2007"
"1171","105119","2007"
"1172","10512","1989"
"1173","105120","2007"
"1174","105121","2007"
"1175","105122","2007"
"1176","105124","1900"
"1177","105125","1900"
"1178","10513","1900"
"1179","10514","1900"
"1180","105142",""
"1181","10515","1900"
"1182","10516","1882"
"1183","10517","1900"
"1184","10518","1910"
"1185","105182","2006"
"1186","10519","1891"
"1187","1052","1920"
"1188","10520","1900"
"1189","105202","2009"
"1190","10521","1900"
"1191","10522","1940"
"1192","105222",""
"1193","105223",""
"1194","10523","1900"
"1195","10524","1900"
"1196","105242","1900"
"1197","105243","2009"
"1198","10525","1900"
"1199","10526","1900"
"1200","105264","1900"
"1201","105265","1900"
"1202","105266","1900"
"1203","10528","1900"
"1204","105282","1916"
"1205","105283","1916"
"1206","10529","1880"
"1207","1053","1930"
"1208","10530","1920"
"1209","105303",""
"1210","105304",""
"1211","105305",""
"1212","105306",""
"1213","105307",""
"1214","105309",""
"1215","10531","1900"
"1216","105310",""
"1217","105311",""
"1218","105312",""
"1219","105313",""
"1220","105314",""
"1221","105315",""
"1222","105316",""
"1223","105317",""
"1224","105318",""
"1225","105319",""
"1226","10532","1900"
"1227","105323",""
"1228","10533","1900"
"1229","10534","1890"
"1230","105343","1900"
"1231","105344","1900"
"1232","105345","1900"
"1233","10535","1910"
"1234","10536","1900"
"1235","105362","1992"
"1236","10537","1900"
"1237","10538","1920"
"1238","10539","2006"
"1239","1054","1950"
"1240","10540",""
"1241","105402","1900"
"1242","105405","1900"
"1243","105406","1900"
"1244","10541",""
"1245","10542","2007"
"1246","105422",""
"1247","10543","1920"
"1248","10544",""
"1249","105442","2007"
"1250","105443","2007"
"1251","10546","1993"
"1252","105462","1950"
"1253","10547","1993"
"1254","10548","1993"
"1255","105482",""
"1256","10549","1993"
"1257","1055",""
"1258","10550","1993"
"1259","105502","1964"
"1260","10551","1993"
"1261","10552","1993"
"1262","105522","1900"
"1263","105524","1900"
"1264","105525","1900"
"1265","10553","1993"
"1266","10554","1993"
"1267","105542",""
"1268","105543",""
"1269","105544",""
"1270","105545",""
"1271","105546",""
"1272","105547",""
"1273","105548","2011"
"1274","105549","2011"
"1275","10555","1967"
"1276","10556","1890"
"1277","105568","1959"
"1278","10558",""
"1279","105587",""
"1280","10559",""
"1281","1056",""
"1282","10560","1941"
"1283","105607",""
"1284","105608","1894"
"1285","105627","1970"
"1286","105628",""
"1287","10564",""
"1288","105648","1910"
"1289","105649","1965"
"1290","10565",""
"1291","105650",""
"1292","10566","1963"
"1293","105667",""
"1294","10567","1962"
"1295","10568","1961"
"1296","10569",""
"1297","1057","1949"
"1298","10570","1965"
"1299","10571","1964"
"1300","10572","1964"
"1301","10573",""
"1302","10574","1964"
"1303","105747","1910"
"1304","105749","1900"
"1305","10575","1961"
"1306","105750","1900"
"1307","105751","1900"
"1308","105752","1860"
"1309","105753","1860"
"1310","105754","1860"
"1311","105755","1860"
"1312","105756","1860"
"1313","105757","1860"
"1314","105758","1860"
"1315","105759","1860"
"1316","10576","1961"
"1317","105767",""
"1318","105768","2009"
"1319","10577","1963"
"1320","10578","1964"
"1321","105787",""
"1322","105788",""
"1323","10579",""
"1324","1058","1945"
"1325","10580","1963"
"1326","105807",""
"1327","105808",""
"1328","105809",""
