"pid","location","ggmap","census"
482,"400 FORT HALE RD","cec82","dk762"
483,"386 FORT HALE RD","cec82","dk762"
484,"368 FORT HALE RD","cec82","dk762"
485,"FORT HALE RD","cec82","dk762"
486,"350 FORT HALE RD","cec82","dk762"
487,"340 FORT HALE RD","cec82","dk762"
488,"330 FORT HALE RD","cec82","dk762"
489,"320 FORT HALE RD","cec82","dk762"
490,"306 FORT HALE RD","cec82","dk762"
491,"294 FORT HALE RD","cec82","dk762"
492,"280 FORT HALE RD","cec82","dk762"
493,"270 FORT HALE RD","cec82","dk762"
494,"260 FORT HALE RD","cec82","dk762"
495,"581 TOWNSEND AV","cec82","dk762"
496,"591 TOWNSEND AV","cec82","dk762"
497,"106 HALL ST","cec82","dk762"
498,"100 HALL ST","cec82","dk762"
499,"94 HALL ST","cec82","dk762"
500,"88 HALL ST","cec82","dk762"
501,"82 HALL ST","cec82","dk762"
502,"76 HALL ST","cec82","dk762"
503,"72 HALL ST","cec82","dk762"
504,"66 HALL ST","cec82","dk762"
505,"60 HALL ST","cec82","dk762"
506,"54 HALL ST","cec82","dk762"
507,"46 HALL ST","cec82","dk762"
508,"40 HALL ST","cec82","dk762"
509,"34 HALL ST","cec82","dk762"
510,"28 HALL ST","cec82","dk762"
511,"22 HALL ST","cec82","dk762"
512,"HALL ST","cec82","dk762"
513,"8 HALL ST","cec82","dk762"
514,"621 TOWNSEND AV","cec82","dk762"
515,"635 TOWNSEND AV","cec82","dk762"
516,"641 TOWNSEND AV","cec82","dk762"
517,"49 TOWNSEND TER","cec82","dk762"
518,"645 TOWNSEND AV","cec82","dk762"
519,"655 TOWNSEND AV","cec82","dk762"
520,"25 TOWNSEND TER","cec82","dk762"
521,"33 TOWNSEND TER","cec82","dk762"
522,"37 TOWNSEND TER","cec82","dk762"
523,"43 TOWNSEND TER","cec82","dk762"
524,"TOWNSEND TER","cec82","dk762"
525,"51 TOWNSEND TER","cec82","dk762"
526,"59 TOWNSEND TER","cec82","dk762"
527,"65 TOWNSEND TER","cec82","dk762"
528,"71 TOWNSEND TER","cec82","dk762"
